jurisdiction,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Guangdong Province,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6572052401746724,0.6481441285001085,0.6156141223272004,0.6215046955787695,0.6425206361989128,0.6506905280826748,0.6506905280826748,0.6506905280826748,0.0692388614293617,0.0692388614293617,0.0,0.0
Hubei Province,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6265799927771759,0.6399274047186932,0.6247427890689867,0.6352377694149847,0.6488054131893678,0.6488054131893678,0.6488054131893678,0.1217596476331221,0.1217596476331221,0.0,0.0
Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4325545729713298,0.4402338346993741,0.4673667315084466,0.4615179503813773,0.4184302921979247,0.4197249722668638,0.4175937296240331,0.4395832130814676,0.4195835806520017,0.4132177311382518,0.4041947908671469,0.4009728680067201,0.4016547577255887,0.3858032664366474,0.3764817526039721,0.3758896845006776,0.3479363526715981,0.3403712511820928,0.4175713028823624,0.4178365692393226
Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1777110820571449,0.1485871427690172,0.5213414490874669,0.5232638787233553,0.6394587310836705,0.6035568079276461,0.6380771729025386,0.641385792184695,0.6473978685220926,0.66373277035127,0.6928602682234841,0.64947596401112,0.5123135802361619,0.5385825239178351,0.6105580985472951,0.6105580985472951,0.6180202956851524
Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2225568497699148,0.2225568497699148
Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4840316912064046,0.4660573803694127,0.4545276845557444,0.4451830029456993,0.4203202458309323,0.9277890467979566,0.9234428891531252,0.9679933465870456,0.995860332093189,0.9998226884058958,0.955746121724952,1.005472103431832,1.0055143045059438,1.0074988377063874,1.0062786858767618,0.976009559624464,0.9834818389925524,1.000175514917225,1.000175514917225,1.008838474301496
Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4956711819221996,0.4947609432313123,0.5001832990788777,0.4964536485180119,0.4548152675972021,0.4583251149044866,0.4612245265805814,0.4938128297348222,0.4500650645865998,0.4407635818154717,0.4326088584763254,0.430596371746149,0.4379221588059876,0.4200572905376537,0.4151401567839631,0.4090227728664382,0.3916440083650471,0.4192320727116032,0.4192320727116032,0.424309587262228
Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6719192422242649,0.6656444183595178,0.6627857788629428,0.657938460260058,0.6831508160932951,0.6795191685253253,0.6631940791224984,0.6587876120125876,0.6659245522615312,0.6696528676758623,0.6980422437406117,0.6980422437406117,0.6980422437406117
Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5749146323323315,0.5334582166355116,0.5409215835103244,0.0,0.0,0.6080656145823075,0.6278527946040218,0.6123617476434784,0.5494809288008841,0.5770564189856383,0.5770564189856383,0.5770564189856383
"Korea, Rep.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6852482124289395,0.6622530731364816,0.6624415357400757,0.7172527765250458,0.6881693963374408,0.6616818011867657,0.8206290022670332,0.8564993696377835,0.8564993696377835,0.8564993696377835
Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3878679152581099,0.4051715117963055,0.3934858596481811,0.3667690110571311,0.3686001197008214,0.3722980716659397,0.4114242874972738,0.4078515001646588,0.4422999562100564,0.4199602839257029,0.3836329865156311,0.3728543882327523,0.3687801449417552,0.3507712681973299,0.3898139143330056,0.3733596592901222,0.3189611536793785,0.3200810052777581,0.2967256254837125,0.2967256254837125,0.297546902521092
Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5366440066471605,0.5140770466597085,0.4299035911963206,0.4233189835091059,0.4645830688665185,0.4839990528446322,0.4249713007020904,0.4401241083689178,0.4263219491345525,0.3635507742307264,0.3462506895678233,0.3165077561158499,0.2924409524801508,0.296807646832441,0.2815096521710203,0.2807731146021472,0.2929637348084007,0.2969523638572845,0.2969523638572845,0.2976965386579384
Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2371356939848194,0.252135334697575,0.247693941346394,0.2268813751544934,0.2367581758996682,0.2346020953430906,0.218414034723799,0.3231427001114641,0.2460173220622331,0.2593060427227242,0.2516924979050837,0.2493760736311635,0.255225217650196,0.2496597076359813,0.2455244387785758,0.2673256942688793,1.296720181614741,1.3478050444471703,1.3478050444471703,1.347847589084682
Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7595734929493173,0.7615178683202148,0.7582966808972357,0.7402043336932831,0.7501297290270097,0.7293360217822864,0.7446096029716364,0.8617134639438278,0.7791490824776588,0.774904177688657,0.651932703868664,0.5931692314162079,0.6272651218953824,0.6370970753619516,0.6359785083167607,0.6137848312928752,0.6046129116486357,0.6225145280161579,0.6225145280161579,0.6561109695564776
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5816348585431295,0.574710628102811,0.5725640437054345,0.5614346376755608,0.5375786960996002,0.5565980307977311,0.503892531618926,0.916121119557185,0.908252330481391,0.4993817344038612,0.4993817344038612
Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4877544079750482,0.4767982765284873,0.4970462095410079,0.4747339726901785,0.4728067037490898,0.4650044441809419,0.4717709973147158,0.5240023468258107,0.4964658663018795,0.5408283597428659,0.556053445128944,0.5530761294128371,0.5441658401952713,0.5361488324664478,0.5297134957168331,0.4932190727028555,0.7281990221335517,0.98481927866331,0.7523403286219777,0.7581156072664267
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8376122136814639,0.8408061615164693,0.8339600067910637,0.8304641364345811,0.8171603059056268,0.8180975046257466,0.8214186440136886,0.82576432359304,0.8189036424555021,0.8279896744623921,0.8401694418488289,0.841361012139566,0.799152730139386,0.799152730139386,0.799152730139386
Northwest Territories,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6133890729675058,0.5675493804912191,0.5939191073650182,0.5939191073650182,0.5939191073650182,0.5939191073650182
Norway,0.0,0.0,0.4226146730890995,0.3874056054795615,0.3773782694839746,0.3755066360588944,0.3767074828308673,0.4178632708635265,0.3828654471535817,0.3733081101953966,0.3636047485954207,0.4183842500320384,0.4299371794867389,0.4366456587884198,0.439204899302616,0.4246040204000728,0.4284785051127694,0.4427510229461924,0.6445417985208701,0.9621916128394122,0.9680024048523802,0.9237741877388292,0.9069539804451656,0.9670496156469868,0.9667633642895848,0.9731000868403592,0.986542246086907,0.9762837999674084,0.9782659527328456,0.9658230013701188,0.969888370583398,0.9434991621822868,0.9311577571081022,0.9297268972752136,0.9297268972752136,1.0226831856653469
Nunavut,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2910470939771493,0.2467890154069247,0.2425027633622454,0.2425027633622454,0.2425027633622454,0.2425027633622454
Oregon,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8912518938935208,0.8912518938935208,0.8912518938935208
Poland,0.0,0.1066340287794642,0.0968833207850653,0.0917492100322497,0.1222429374534724,0.1251388897528776,0.1649293007003111,0.1724279229243258,0.1688414530847918,0.1581713216347727,0.1386340859912514,0.1437346773757005,0.128415436076593,0.124572424887727,0.1161475990689325,0.1472027812813005,0.5870541283855844,0.5748386346503607,0.5833748344760208,0.5766754277661558,0.5604157703694644,0.5503281137146249,0.5633291020303836,0.5614051804988596,0.5656807639663893,0.5615786826182035,0.5586720260649868,0.5385276231836288,0.5284454367235567,0.5256603661510372,0.5158161341013755,0.4996696818638572,0.5177090518874784,0.5052571183883577,0.5052571183883577,0.505267972747927
Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494753384134374,0.5302311138692705,0.5117117991955177,0.5093358098150728,0.5027961550995307,0.4451044452792916,0.4755705167130596,0.5602453040690114,0.5150569705057945,0.5143093549354689,1.0350950920460735,1.0456673763672772,1.0025731644463798,1.014444733162244,1.0193920540995147,0.9227293490184684,0.9467274500184842,1.0608765164568104,1.0608765164568104,1.067221741839545
Romania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428359194127928,0.6398413191171202,0.6319831153906511,0.6231655697752141,0.6356742446507516,0.6110310295167818,0.5582260630356513,0.5609659421562617,0.5636909740668402,0.5449161183282636,0.5414030218236944,0.5197340339608446,0.5139096320974317,0.462318466516647,0.4631868434237159,0.4328393945247311,0.4328393945247311,0.4346855078953465
Shanghai Municipality,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.586639879457559,0.5564516129032258,0.5405982905982906,0.523776410805028,0.5131502966034962,0.54432502336711,0.54432502336711,0.54432502336711,0.2023895643239307,0.2023895643239307,0.0,0.0
Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6172914767917653,0.6146898970508505,0.6298677293806122,0.6471025597743253,0.6471025597743253,0.6471025597743253
Slovak Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5772582943523268,0.5779110817561636,0.574947859761457,0.5453309226552214,0.5446731343725201,0.5289561854267896,0.5585935120806408,0.566786666484356,0.545974588255628,0.5555601293721577,0.5495395252626908,0.5397242952297261,0.5209841559825323,0.5170256703398203,0.5000457069069721,0.5016560830976271,0.4968341718464116,0.4469902869850476,0.4469902869850476,0.4469902869850476
Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5211892950761605,0.5384727660862492,0.5563782301240051,0.5644119185848345,0.5782490361371654,0.522057296286353,0.5325525214660175,0.5435257316542996,0.5412610798072002,0.6687200488000024,0.6719005661732922,0.64829654831692,0.6123591656774944,0.633451456335179,0.6280636843278509,0.584740270726089,0.5841722901604095,0.600253290149811,0.5616982047684768,0.5634920628500495,0.5538579835854834,0.558018749901527,0.5578434557425113,0.5527126656887529,0.5897557645433519,0.5618546584201646,0.5194776164619259,0.5194776164619259,0.5194776164619259
South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8918804718242513,0.9672187389295208,0.9241025784543476,0.9310616028875924,0.9310616028875924,0.9310616028875924
Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5270049353158908,0.5014209652250876,0.5170434625690232,0.4956430418201841,0.4681218780016625,0.4400627423245933,0.4711364237608628,0.5520466779598872,0.4948695889818423,0.5083752152771693,0.5192176647657124,0.4927276303430837,0.5136083638355226,0.4914496531578212,0.465064341380478,0.4206720411261482,0.4167621774571919,0.461027349821574,0.461027349821574,0.4756454590130542
Sweden,0.0,0.0,0.6717366857085677,0.6626795977926628,0.6578047777752374,0.6573660256015965,0.6648000344467726,0.6311484025343118,0.6568209782587814,0.6383261193680484,0.6479865705590302,0.6632411324220829,0.6466828008932444,0.6452925203802397,0.6738813503925815,0.6820174116884637,0.839684395022344,0.8180074935574635,0.8313877861253139,0.8276728901925061,0.8544889862180546,0.8419788846799128,0.8529619735945136,0.9140259089768988,0.8894931605894082,0.8770013351892278,0.8694878516222463,0.8563305839118891,0.8587190053524383,0.857873045579848,0.8392882053823096,0.7940118037213263,0.8192692887125183,0.8363390021895925,0.8363390021895925,0.8481249667938648
Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5107259482576123,0.5077486855607161,0.5250634454226787,0.4807746707976769,0.4929751079601103,0.5073018102886894,0.4571179081659247,0.4718004857391699,0.4805777257955366,0.4728085429260604,0.4557847708565148,0.4528621137085789,0.4550637159787655,0.4694053095492901,0.4333766081138937,0.4333766081138937,0.4333766081138937
Tianjin Municipality,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7681818181818181,0.7611842105263158,0.7429906542056075,0.7254956328850687,0.7251378248729148,0.7514882586697046,0.7762302701932215,0.7762302701932215,0.3302765765026178,0.3302765765026178,0.0,0.0
Ukraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7731106591178337,0.788781832506447,0.7886565624733204,0.8059211295600575,0.7687706638697179,0.7898958452678567,0.7551233500360879,0.7689170889435077,0.756491916018209,0.7326310261844641,0.7308296028003595,0.5085301880062072,0.5085301880062072,0.5085301880062072
United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4885187190093608,0.4979518184961291,0.4928569216418959,0.4866434336322665,0.464485779000061,0.4650252767613917,0.4710343739671769,0.5470565545154378,0.5347291220426093,0.5237029997576498,0.488989803490946,0.4468216998374548,0.4388615432487724,0.4298278705985062,0.4253002428305411,0.3688118194759737,0.4505352857538874,0.4631023413363488,0.4631023413363488,0.4631023413363488
United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0213439964204936,0.0221882497870438,0.0201907782048772,0.0166286287007519,0.0394148453697702,0.0390704295809396,0.0739810269165283,0.074094962719593,0.0722352658861421,0.0767403582035316,0.0763011922518774,0.0772310606997232,0.0776934209784841,0.0848283828355885,0.0893506862852707,0.0893506862852707
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8038608334811314,0.8038608334811314,0.8038608334811314
World,0.0,0.0032954678843091,0.0053959850123193,0.0065121831485052,0.0069363508842342,0.0071344205884858,0.00750457965834,0.0081086783243724,0.0076039550992459,0.0072841966486599,0.0068546492941999,0.006969593014547,0.0066709666370744,0.0064780905401845,0.0063249875312772,0.0064871275619015,0.071566778897182,0.0690999395096421,0.0710683228915612,0.0694834624703596,0.066457020563453,0.0662413669275801,0.0695656342513598,0.1033296050870497,0.125403651319914,0.1335981939922406,0.145031786667093,0.1448635272773245,0.1452402418704047,0.1504925954997762,0.1577634977362731,0.1504605864007406,0.2867612696316727,0.2878194510768054,0.2809246053730329,0.2816149152075908
Yukon,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5636483019278165,0.5949667025895733,0.5624754260583493,0.5624754260583493,0.5624754260583493,0.5624754260583493
