year,ipcc_code,ecp_all_sectCO2_usd_k
1999,Chemicals,0.1551684244023473
2000,Chemicals,0.1743503907941882
2001,Chemicals,0.1517249565960106
2002,Chemicals,0.1575550642547158
2003,Chemicals,0.3174171649631266
2004,Chemicals,0.2613911621760012
2005,Chemicals,4.011900025108202
2006,Chemicals,3.098516089965723
2007,Chemicals,0.2906299470811334
2008,Chemicals,3.1076779236385232
2009,Chemicals,2.1173843551291696
2010,Chemicals,2.0077128827014263
2011,Chemicals,1.9011076602741392
2012,Chemicals,1.2395074413790073
2013,Chemicals,0.7942490412724479
2014,Chemicals,1.066779751211342
2015,Chemicals,1.1542826467265008
2016,Chemicals,0.998072437183221
2017,Chemicals,1.141874527480368
2018,Chemicals,2.4271297807518395
2019,Chemicals,3.84804617951264
2020,Chemicals,3.8017835462378304
2021,Chemicals,8.078101039015733
2022,Chemicals,9.290885186205234
2023,Chemicals,8.806617486121786
2024,Chemicals,7.0717455038092085
1989,"Pulp, Paper, Print",0.0
1990,"Pulp, Paper, Print",0.059207859207691
1991,"Pulp, Paper, Print",0.3350289598982449
1992,"Pulp, Paper, Print",0.3793400108037874
1993,"Pulp, Paper, Print",0.5333634608417284
1994,"Pulp, Paper, Print",0.9988870080765936
1995,"Pulp, Paper, Print",0.6337493267408748
1996,"Pulp, Paper, Print",0.8391007025085458
1997,"Pulp, Paper, Print",1.0154093308810936
1998,"Pulp, Paper, Print",1.1702833741057583
1999,"Pulp, Paper, Print",1.1481769316348704
2000,"Pulp, Paper, Print",0.9022075706446616
2001,"Pulp, Paper, Print",0.9041858444018156
2002,"Pulp, Paper, Print",0.8422759284520196
2003,"Pulp, Paper, Print",0.903459439149329
2004,"Pulp, Paper, Print",0.8326926033991473
2005,"Pulp, Paper, Print",5.913002271349132
2006,"Pulp, Paper, Print",4.998863579436426
2007,"Pulp, Paper, Print",0.8494304842711807
2008,"Pulp, Paper, Print",4.441701156816906
2009,"Pulp, Paper, Print",3.1383527001067595
2010,"Pulp, Paper, Print",3.3446869576809637
2011,"Pulp, Paper, Print",3.242497677264727
2012,"Pulp, Paper, Print",2.350112225646488
2013,"Pulp, Paper, Print",1.8775576885149092
2014,"Pulp, Paper, Print",2.4850768592836476
2015,"Pulp, Paper, Print",2.813919701944588
2016,"Pulp, Paper, Print",2.64576153772728
2017,"Pulp, Paper, Print",2.9310308488423096
2018,"Pulp, Paper, Print",5.15057343764001
2019,"Pulp, Paper, Print",8.122055853946913
2020,"Pulp, Paper, Print",7.167325598698864
2021,"Pulp, Paper, Print",14.078957768571296
