regionName,ccost_int,co2_int
Mexico,0.0008943436844832619,2.5496713583704436e-05
Ukraine,0.0009042167062629869,9.090859479238572e-05
Japan,0.002382770754657551,1.4462995664269692e-05
China,0.003340918883056213,1.9307395029358925e-05
Luxembourg,0.0049042768810495865,2.2531528571548e-06
Switzerland,0.005666057834277089,2.172930465769055e-06
Latvia,0.009183007420894862,5.353283859683661e-06
Malta,0.01238034032993,2.7580088514528858e-06
Denmark,0.01293453483296,3.26344111514485e-06
Italy,0.01321090058501,4.124814308918621e-06
Sweden,0.01464304111578,2.977277265731168e-06
Ireland,0.015421749019170001,4.639510421643595e-06
Austria,0.0195745515303,5.325586502223892e-06
Germany,0.02059348642835,5.275910731111381e-06
United Kingdom,0.02258288197734,5.223278035602085e-06
France,0.022755992092350002,5.805242898565514e-06
Estonia,0.023579263462670003,0.0001345254737852
South Africa,0.024122915093989998,3.584770808570277e-05
Spain,0.02509529350357,7.746195170609327e-06
Slovenia,0.02868315775129,1.0209046114967e-05
Norway,0.02869039026463,7.122403221999548e-06
Slovak Republic,0.029897058297480003,9.711430891810856e-06
Finland,0.02995315392566,4.403771115025285e-06
Netherlands,0.03046548470622,5.657845309690381e-06
Greece,0.03073390503734,1.01430850093898e-05
Cyprus,0.03225130080629,1.0849252173421908e-05
Lithuania,0.03251371052369,8.510200856669685e-06
Czech Republic,0.039776995989450004,1.0041685793797882e-05
Hungary,0.04524717908609,1.124646700505887e-05
Poland,0.05038254059579,1.3659592843035394e-05
Croatia,0.05146842330231,1.3449192400515504e-05
Belgium,0.05171241294386,1.1870969387574767e-05
Romania,0.0639781784599,1.5094744563519136e-05
Bulgaria,0.10023055996703,5.157955258090788e-05
Portugal,0.25280424816007,3.1881546039793264e-05
