ipcc_code,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1A1A1,0.0,0.0,1.2880883562014531e-06,0.0002484341841855,0.0002932409942938,0.0006277815920011,0.0006042143665229,0.0008601617319973,0.0003500518105272,0.0003331448938741,0.0002924323894067,0.001566991973793,0.0013607973920802,0.0012827132489953,0.0013664643935541,0.0024474542857268,0.1215336656553093,0.1166674952407436,0.1181515264212638,0.1103479707523656,0.1164092500712956,0.1115575126280114,0.1157980269515878,0.1965601506047911,0.2758725161275868,0.2766324374734228,0.2725791106972828,0.2829175695279024,0.2798906741986501,0.2822559672078525,0.2981774914283026,0.2866132593151056,0.5160887730247612,0.5157174302398884,0.5185387507296221,0.518976033350494
1A1C,0.0,0.0017832748807528,0.0055134614630107,0.0078634039349103,0.0075514802325706,0.0076838376223593,0.0073528375035381,0.0078702708817893,0.007266943056793,0.0072329019863454,0.0075987074431398,0.0086723044633744,0.0079007408475104,0.0073346808648709,0.0074536282621817,0.0077184905504466,0.1435105048443009,0.1375684069997896,0.143357095015719,0.1624577394065471,0.1513424232146067,0.1457821855440845,0.1448905091277633,0.1423939601189588,0.1361287215824964,0.1745381967145977,0.1789518710819242,0.177196736013606,0.1839061929463905,0.2501376862011793,0.2871137566645543,0.3372465679803166,0.3766373630321288,0.3632218870779293,0.2784227953086108,0.2784227953086108
1A2A,0.0,0.0222817857743245,0.0233637150487028,0.0244859395342116,0.0268016938945579,0.0282779510451593,0.0277379171441891,0.0301228047101264,0.0305048776463704,0.0265441456661243,0.0251834999851208,0.0232214942285623,0.0205142047231764,0.0207392035660263,0.0201691555565496,0.0198609310442103,0.1066998273220768,0.1024331407671872,0.0927331854347858,0.0832144867249496,0.0567589009008443,0.062979630803694,0.0829213905053211,0.1235617522542544,0.180498849212003,0.186889405514973,0.2016956743690523,0.1982906835656962,0.1988892872349129,0.1864982804827564,0.185555685664595,0.1782512782688234,0.1894633750526508,0.1745613871606461,0.0929529447678779,0.0930722438042497
1A2B,0.0,0.0117376735601461,0.017174725804354,0.0114336959842717,0.0139796590853539,0.0192088902001111,0.0178413471882066,0.017898958886823,0.0176042509593418,0.0148559273793324,0.0139413768459993,0.0137970398618631,0.0152057587614472,0.0143010494095833,0.0139018799634538,0.0107343504114617,0.1146905123010679,0.1036752147543021,0.0987897705299738,0.0992842535592477,0.0870616220178559,0.0865194824164175,0.0855397114599143,0.2054246398968997,0.2882088177763326,0.285865372200326,0.218796995433963,0.1973303071273731,0.1917932753663281,0.2370765613928866,0.2724517763404502,0.2881360269307336,0.2623786414255136,0.243579342576384,0.1891116382958283,0.1891134157911244
1A2C,0.0,0.0051376747132077,0.0066078120874794,0.0072033938721261,0.0094249908247672,0.0071365686167082,0.0174676594341206,0.0189381505687941,0.0196366358323994,0.0208147474684846,0.0210487580700942,0.0190613478709444,0.0184350165720561,0.0188339943573571,0.0175776259762116,0.0155046160742284,0.1328643849379229,0.1228455867053913,0.1399303236725582,0.138636477141795,0.1276658479428041,0.1141228492831051,0.1207364334628134,0.1659403511994825,0.1913782170175422,0.2440102509319956,0.2015201691286759,0.1921908649272091,0.2142796838788903,0.2186042281020222,0.2423648663457516,0.2322184028234691,0.2740303420752508,0.2505140216412199,0.2153980906254619,0.2159279421157543
1A2D,0.0,0.0278052751021351,0.0376361457222214,0.0448027816847879,0.0447788388266862,0.0549695095602649,0.0432182341820769,0.0489712415655172,0.0477567553544748,0.051624518633503,0.0516133776564804,0.0430246332475444,0.0438849194091182,0.0409861921317301,0.0422620674510031,0.0399523107273475,0.2239094786204965,0.2272298627940785,0.2250682185655763,0.2246019578119763,0.2057139491704654,0.2072700418409735,0.1975923981087495,0.2845992015667269,0.3237988632485977,0.3497982984374111,0.344785268525364,0.4138905187527955,0.4214352557349964,0.4585501615205473,0.4921104306456673,0.4528292790871049,0.4815736787501083,0.4541624559713721,0.3853200759673884,0.3991166843779284
1A2F,0.0,0.0252165160259054,0.0270125601436957,0.028108974519157,0.0288472146870228,0.0291163267349696,0.0251321217444752,0.0259702065619515,0.0243641416793426,0.0225580976459107,0.0216331771413566,0.0215427015088997,0.0187449878209129,0.0173474095918525,0.015708132208871,0.0138466898018954,0.1187089443296184,0.1129190505112373,0.1137176677228928,0.1081880840613348,0.0860497687251879,0.0824991182253109,0.0798681144485433,0.0988991015080972,0.0978870110035167,0.1012372293388685,0.1115389633217516,0.1142302390653206,0.1157260324565771,0.1138586809088669,0.123536976211246,0.1144306918393127,0.1165180931696456,0.1111289118240344,0.1109882918837749,0.111322347143012
1A2H,0.0,0.0190397610961216,0.0217020031673051,0.0212007581457477,0.0350316432716934,0.0380195461581357,0.0261814786017604,0.0283717855178501,0.0277924433124767,0.0249567217171679,0.0228059531016591,0.0209205577633679,0.0189145386827994,0.0176258255593058,0.0196864615625534,0.0176079820591471,0.1944842815035616,0.1696766644062514,0.1656818879887216,0.156746433485217,0.1468622174288265,0.1454171539194073,0.1359870918152681,0.1960311321230622,0.2045367181992608,0.1938536905832251,0.2322834920017392,0.2364130249878582,0.2718871524572875,0.2551581659945353,0.2474261325853106,0.2203338445774855,0.2599454485480692,0.2468189941424093,0.2543508238590868,0.2543876720419783
1A2J,0.0,0.0456023815954059,0.0648064377830775,0.0602960146982627,0.089930356048362,0.0723779065486337,0.0534518865273112,0.0580392465842174,0.053993117604561,0.052793268245823,0.0502044997260183,0.053335543725165,0.0524003036765028,0.0530833702948717,0.0559671478424725,0.0519946547013661,0.1343802916257728,0.113649408908082,0.1174813770991864,0.0987302704991558,0.0839308335082862,0.0996395273100347,0.135493290199541,0.1336498267014098,0.1373844751142488,0.1370722787058739,0.140668045923357,0.153597858425028,0.1839493719906044,0.2383963204376502,0.214033393093473,0.2100948505501663,0.2300224184965008,0.2373864095877278,0.2498710996269208,0.2498710996269208
1A3A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007882981606345,0.1409748740153213,0.0875205043783448,0.0857176588948829,0.086330062901444,0.0854668786277795,0.0876584434990456,0.0872081643146307,0.0900321702111902,0.0802197510478396,0.0613314113655621,0.0669921274460033,0.0669921274460033,0.0669921274460033
