jurisdiction,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Beijing Municipality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4298342541436464,0.4106548279689234,0.3772775991425509,0.3838096322441079,0.3573361571949641,0.3849363226876808,0.3849363226876808,0.3849363226876808,0.0252218951186489,0.0252218951186489,0.0,0.0
Chongqing Municipality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4831625183016105,0.403894472361809,0.4560394412489729,0.4768135739449277,0.5267069508949779,0.5267069508949779,0.5267069508949779,0.0828171885517856,0.0828171885517856,0.0,0.0
Fujian Province,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6857519094021596,0.7143620639393645,0.7514527397198156,0.7514527397198156,0.7514527397198156,0.1582448810449123,0.1582448810449123,0.0,0.0
Guangdong Province,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6572052401746724,0.6481441285001085,0.6156141223272004,0.6215046955787695,0.6425206361989128,0.6506905280826748,0.6506905280826748,0.6506905280826748,0.0692388614293617,0.0692388614293617,0.0,0.0
Hubei Province,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6265799927771759,0.6399274047186932,0.6247427890689867,0.6352377694149847,0.6488054131893678,0.6488054131893678,0.6488054131893678,0.1217596476331221,0.1217596476331221,0.0,0.0
Shanghai Municipality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.586639879457559,0.5564516129032258,0.5405982905982906,0.523776410805028,0.5131502966034962,0.54432502336711,0.54432502336711,0.54432502336711,0.2023895643239307,0.2023895643239307,0.0,0.0
Tianjin Municipality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7681818181818181,0.7611842105263158,0.7429906542056075,0.7254956328850687,0.7251378248729148,0.7514882586697046,0.7762302701932215,0.7762302701932215,0.3302765765026178,0.3302765765026178,0.0,0.0
