Jurisdiction,Year,IPCC_cat_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price,tax_curr_code,ets_curr_code,tax_rate_incl_ex_clcu_USD,ets_price_USD,tax_rate_incl_ex_clcu_2019USD,ets_price_2019USD,tax_curr_x_rate,ets_curr_x_rate
Denmark,1989,1A2K,ABFLOW014,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A2K,ABFLOW014,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A2K,ABFLOW014,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A2L,ABFLOW025,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A2L,ABFLOW025,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A2L,ABFLOW025,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A2M,ABFLOW026,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A2M,ABFLOW026,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A2M,ABFLOW026,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3,ABFLOW027,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3,ABFLOW027,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3,ABFLOW027,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3A,,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3A,,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3A,,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3A1,ABFLOW040,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3A1,ABFLOW040,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3A1,ABFLOW040,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3A2,ABFLOW029,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3A2,ABFLOW029,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3A2,ABFLOW029,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3B,ABFLOW028,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
