edgar_id,ipcc_code
ENE,1A1a
TRF,"1A1b,1A1ci,1A1cii,1A5biii,1B1b,1B2aiii6,1B2biii3,1B1c"
IND,1A2
CDS,1A3a
CRS,1A3a
LTO,1A3a
SPS,1A3a
TRO,1A3b
TNR,"1A3c,1A3e"
FFF,"1B1a,1B2aiii2,1B2aiii3,1B2bi,1B2bii,5B"
SHIP,1A3d
RCO,"1A4,1A5"
NMM,2A
CHE,2B
IRO,"2C1,2C2"
NFE,"2C3,2C4,2C5,2C6,2C7"
NEU,"2D1,2D2,2D4"
PRU_SOL,"2D3,2E,2F,2G"
ENF,3A1
MNM,3A2
AWB,3C1b
AGS,"3C2,3C3,3C4,3C7"
N2O,"3C5,3C6"
SWD_LDF,"4A,4B"
SWD_INC,4C
WWT,4D
IDE,5A
