"year","cge_id","paidShare_a_md","paidShare_a_um","paidShare_a_wm","oba_proxy_wm","sum_verified","sum_allocatedFreeM","sum_allocatedTotal","sum_surrendered","n_installations"
2005,"10|AFF",0,0.0507783050076563,0.0415716911764706,0.958428308823529,435200,579737,579737,435200,25
2005,"11|MIN",0,0.018937117699922,0.00409108562998027,0.99590891437002,7672780,15793740,15793740,7667415,26
2005,"12|FOS",0,0.0853440501313386,0.0259846961437002,0.9740153038563,244127619,276493296,276493296,231688486,2313
2005,"13|FOO",0,0.0360864547014572,0.039180582605632,0.960819417394368,15656148,18449112,18449112,15242432,523
2005,"14|PAP",0,0.0393574322813594,0.0203139874281695,0.979686012571831,23189145,28743893,28743893,22380409,544
2005,"15|FER",0,0.0313864739683452,0.0173999958497327,0.982600004150267,3469656,4066784,4066784,3469647,39
2005,"16|PRP",0,0.0504344177818252,0.0264742257443808,0.973525774255619,3112990,3688156,3688156,3049121,76
2005,"17|CHM",0,0.0140306059292812,0.0122877468144022,0.987712253185598,1944376,2602882,2602882,2036928,56
2005,"18|FER_CHM",0,0.0246747322100752,0.0381864917719195,0.961813508228081,585495,654848,654848,577775,21
2005,"19|PRP_CHI_CHO_OMF_CHM",0,0.0442976793968303,0.0187225471296167,0.981277452870383,20935880,24116232,24116232,19216046,154
2005,"20|CLY_GAC_CEM_OMF",0,0.0679305530713726,0.068875552255582,0.931124447744418,731319,788651,788651,716706,53
2005,"21|GAC",0,0.0324323293600418,0.0259388727113011,0.974061127288699,16338104,18665492,18665492,15776023,454
2005,"22|CEM",0,0.0330260148694855,0.0300252870901522,0.969974712909848,135157109,146040090,146040090,124977140,367
2005,"23|IAS",0,0.0302561264325258,0.021042750221865,0.978957249778135,115606324,141546519,141546519,106270946,187
2005,"24|NFM",0,0.0712775651955123,0.0936206128221448,0.906379387177855,3238101,3032049,3032049,3133231,31
2005,"25|OMF",0,0.0481185898890628,0.043587646875411,0.956412353124589,7732489,10211946,10211946,7808906,474
2005,"26|ELE",0,0.10472550712764,0.126306866736026,0.873693133263974,1037136257,990162256,990162256,1023531706,1303
2005,"27|ELE_FOS",0,0.0926380802312349,0.188822392645252,0.811177607354748,31717414,29173004,29173004,31719730,124
2005,"28|WTR",0,0.0923043985873418,0.0676161267293879,0.932383873270612,250739,512308,512308,204009,24
2005,"30|OTP",0.110211018732617,0.197956045652684,0.228238029359258,0.771761970640742,1493362,1351161,1351161,1365085,52
2005,"31|SER",0.0504989048430275,0.087996838929114,0.0787352879636533,0.921264712036347,2155463,2246126,2246126,2157115,227
2005,NA,0,0.0384111194727427,0.0381166645237759,0.961883335476224,9605405,11481029,11481029,8990849,665
2006,"10|AFF",0,0.0478331923642485,0.0361073336571151,0.963892666342885,411800,579212,579212,433360,28
2006,"11|MIN",0,0.0447934955082586,0.00741543131266576,0.992584568687334,8919643,15745809,15745809,8992677,32
2006,"12|FOS",0,0.0827489983792893,0.0262329598325323,0.973767040167468,300548396,342039957,342039957,371694312,2711
2006,"13|FOO",0,0.0414510464176007,0.0398891445569018,0.960110855443098,20940785,26126560,26126560,27385919,723
2006,"14|PAP",0,0.0542904526924761,0.0367221385984534,0.963277861401547,30402042,37332307,37332307,38851412,753
2006,"15|FER",0,0.0815515807574674,0.028069214780943,0.971930785219057,4247821,5234654,5234654,4901936,52
2006,"16|PRP",0,0.0413785383690957,0.0333083352599634,0.966691664740037,4329667,5073746,5073746,5494047,117
2006,"17|CHM",0,0.0102388718949156,0.00947935446990018,0.9905206455301,2274100,3047719,3047719,2576735,71
2006,"18|FER_CHM",0,0.0272782215102898,0.0219866892820495,0.978013310717951,758186,910734,910734,1056489,31
2006,"19|PRP_CHI_CHO_OMF_CHM",0,0.048023466848945,0.0314821762834258,0.968517823716574,27849663,32379747,32379747,36629943,220
2006,"20|CLY_GAC_CEM_OMF",0,0.0697956920360852,0.0625542816253626,0.937445718374637,915365,1031755,1031755,1112024,65
2006,"21|GAC",0,0.0341426737861045,0.0309593730495703,0.96904062695043,20064489,22584981,22584981,24889475,524
2006,"22|CEM",0,0.0417823409429663,0.0361804301011424,0.963819569898858,175729503,182307730,182307730,224121712,465
2006,"23|IAS",0,0.0434261192002975,0.0292961731857552,0.970703826814245,159867467,185392672,185392672,208019392,262
2006,"24|NFM",0,0.0557134265275413,0.139777217625489,0.860222782374511,3583946,3450032,3450032,3940012,37
2006,"25|OMF",0,0.0487676559085782,0.0440015962189386,0.955998403781061,9850779,13748885,13748885,12158251,603
2006,"26|ELE",0,0.115205739555483,0.147513519371058,0.852486480628942,1166728092,1085170923,1085170923,1312480257,1433
2006,"27|ELE_FOS",0,0.110831510399735,0.207776885421149,0.792223114578851,32081095,29366675,29366675,32486765,126
2006,"28|WTR",0,0.0680533820622347,0.0140877189533489,0.985912281046651,254335,524943,524943,303904,24
2006,"29|ATP",0,0,0,1,157182,183472,183472,318345,2
2006,"30|OTP",0,0.14987442804414,0.165130632854544,0.834869367145456,3250905,4968882,4968882,5422430,98
2006,"31|SER",0,0.0662891567148663,0.0571903837018326,0.942809616298167,2614478,2839016,2839016,3291090,246
2006,NA,0,0.0389151122841148,0.0407309729433402,0.95926902705666,13323448,15732247,15732247,17097797,784
2007,"10|AFF",0,0.0712321894867179,0.0317909501077246,0.968209049892275,389419,579213,579213,389288,29
2007,"11|MIN",0,0.0404608997599734,0.0243154523962113,0.975684547603789,9330980,15902569,15902569,9332629,34
2007,"12|FOS",0,0.0708456782083633,0.0375340625482368,0.962465937451763,314697536,362024424,362024424,319774365,2802
2007,"13|FOO",0,0.0541755934652627,0.0618969119532014,0.938103088046799,21695008,26734920,26734920,21820142,729
2007,"14|PAP",0,0.0597524818576763,0.0372750620035676,0.962724937996432,29524914,37291702,37291702,30447850,741
2007,"15|FER",0,0.0834940454407022,0.0417850478334117,0.958214952166588,7277340,8492095,8492095,7581988,57
2007,"16|PRP",0,0.043230997560303,0.0283826112453445,0.971617388754656,4256268,5316787,5316787,4337222,116
2007,"17|CHM",0,0.00871099283706146,0.00911481981934865,0.990885180180651,2103278,2868656,2868656,2134319,70
2007,"18|FER_CHM",0,0.0345977808333885,0.0284183195024495,0.971581680497551,608903,783142,783142,627952,26
2007,"19|PRP_CHI_CHO_OMF_CHM",0,0.0488521014154232,0.0358682461646482,0.964131753835352,28154262,33094496,33094496,28533383,225
2007,"20|CLY_GAC_CEM_OMF",0,0.0822634741044783,0.0765639117008509,0.923436088299149,889884,983579,983579,899419,65
2007,"21|GAC",0,0.0436980562154236,0.0389833449401753,0.961016655059825,19560302,21837106,21837106,19932802,475
2007,"22|CEM",0,0.0552384700325953,0.0524476160553939,0.947552383944606,192998591,194748016,194748016,193841359,486
2007,"23|IAS",0,0.0478379526704277,0.027794505010217,0.972205494989783,170611673,197373639,197373639,171565355,281
2007,"24|NFM",0,0.0437086889024817,0.137688497517452,0.862311502482548,3707078,4503963,4503963,3915738,41
2007,"25|OMF",0,0.0424783642188045,0.0454253258047642,0.954574674195236,9621483,14178943,14178943,10148171,616
2007,"26|ELE",0,0.117727255441072,0.147471025943967,0.852528974056033,1202667913,1116685378,1116685378,1224015110,1422
2007,"27|ELE_FOS",0,0.0992538919928606,0.237442090636547,0.762557909363453,35728678,31048510,31048510,36082551,131
2007,"28|WTR",0,0.0483709065731323,0.00374822586589507,0.996251774134105,382581,549347,549347,403947,25
2007,"29|ATP",0,0,0,1,139626,183473,183473,139626,2
2007,"30|OTP",0,0.0995341139642566,0.0974957666134995,0.902504233386501,2826933,5031734,5031734,2826932,98
2007,"31|SER",0,0.0686020592621108,0.0576693147598452,0.942330685240155,2606152,2925010,2925010,2694847,253
2007,NA,0,0.068255613183536,0.0717326327248093,0.928267367275191,13426804,15515843,15515843,13593437,779
2008,"10|AFF",0.0308955747140506,0.289180852935853,0.327057471761403,0.672942528238597,1618795,1319452,1319452,1621147,106
2008,"11|MIN",0,0.0700108705616599,0.112418012633589,0.887581987366411,5169394,5543711,5543711,5167132,37
