"year","country","gloria_sector","gloria_sector_name","allocatedFree","allocatedTotal","allocated10c","verified","surrendered"
2005,"Austria","1_2_3_4","Aggregate (see variable gloria_sector)",0,0,0,0,0
2005,"Austria","6_7","Aggregate (see variable gloria_sector)",18417,18417,0,7167,0
2005,"Austria","11","Growing grapes",8653,8653,0,7724,7724
2005,"Austria","20","Raising of animals n.e.c.; services to agriculture",0,0,0,0,0
2005,"Austria","26","Petroleum extraction",1015656,1015656,0,587124,0
2005,"Austria","41_42_43_44_45","Aggregate (see variable gloria_sector)",99714,99714,0,67401,42540
2005,"Austria","47","Cereal products",2021028,2021028,0,1412458,100636
2005,"Austria","48_49","Aggregate (see variable gloria_sector)",288659,288659,0,221847,77858
2005,"Austria","50","Food products and feeds n.e.c.",501353,501353,0,394019,203807
2005,"Austria","50_51","Aggregate (see variable gloria_sector)",0,0,0,0,0
2005,"Austria","51","Sugar refining; cocoa, chocolate and confectionery",2644603,2644603,0,1981897,560472
2005,"Austria","52_53","Aggregate (see variable gloria_sector)",231141,231141,0,137335,67619
2005,"Austria","54","Dairy products",804720,804720,0,635935,149450
2005,"Austria","55","Alcoholic and other  beverages",142929,142929,0,90918,30471
2005,"Austria","56","Tobacco products",195996,195996,0,159426,0
2005,"Austria","57","Textiles and clothing",385921,385921,0,189033,140375
2005,"Austria","59","Sawmill products",173207,173207,0,84735,43468
2005,"Austria","60","Pulp and paper",5257874,5257874,0,3655712,570637
2005,"Austria","63","Refined petroleum products",38720000,38720000,0,34666716,25060
2005,"Austria","64","Nitrogenous fertilizers",322347,322347,0,217228,0
2005,"Austria","65_70","Aggregate (see variable gloria_sector)",12076,12076,0,9392,2388
2005,"Austria","66","Basic petrochemical products",591729,591729,0,540280,157687
2005,"Austria","66_67_68_70","Aggregate (see variable gloria_sector)",8328149,8328149,0,6943640,235210
2005,"Austria","69","Pharmaceuticals and medicinal products",733282,733282,0,454204,327008
2005,"Austria","70","Dyes, paints, glues, detergents and other chemical products",489051,489051,0,331233,41635
2005,"Austria","71","Rubber products",542126,542126,0,446232,118346
2005,"Austria","72","Plastic products",81890,81890,0,71064,3060
2005,"Austria","73","Clay building materials",2539383,2539383,0,2114417,473846
2005,"Austria","73_74_75_76","Aggregate (see variable gloria_sector)",20000,20000,0,16459,16460
2005,"Austria","74","Glass and other ceramics n.e.c.",4018118,4018118,0,3723122,2453888
2005,"Austria","74_76","Aggregate (see variable gloria_sector)",20000,20000,0,16459,16460
2005,"Austria","75","Cement, lime and plaster products",16189985,16189985,0,15898137,7674725
2005,"Austria","76","Other non-metallic mineral products n.e.c.",50345,50345,0,36324,11147
2005,"Austria","77","Basic iron and steel",29007668,29007668,0,26886603,77154
2005,"Austria","77_78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",27920308,27920308,0,25952192,77154
2005,"Austria","78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",419005,419005,0,270132,1616
2005,"Austria","85","Fabricated metal products",53118,53118,0,40962,14072
2005,"Austria","86","Machinery and equipment",26120,26120,0,18627,2927
2005,"Austria","87","Motor vehicles, trailers and semi-trailers",1043923,1043923,0,538982,27798
2005,"Austria","88","Other transport equipment",1583450,1583450,0,1033198,19272
2005,"Austria","89","Repair and installation of machinery and equipment (service)",14237,14237,0,12639,12639
2005,"Austria","90","Computers; electronic products; optical and precision instruments",40713,40713,0,34010,22382
2005,"Austria","91","Electrical equipment",14725,14725,0,11355,0
2005,"Austria","92","Furniture and other manufacturing n.e.c",29497,29497,0,24825,24825
2005,"Austria","93","Electric power generation, transmission and distribution",36958255,36958255,0,34005260,4940821
2005,"Austria","93_94","Aggregate (see variable gloria_sector)",556691,556691,0,461001,204680
2005,"Austria","94","Distribution of gaseous fuels through mains",27487897,27487897,0,19348734,1199119
2005,"Austria","95","Water collection, treatment and supply; sewerage",80616,80616,0,32862,32862
2005,"Austria","96","Waste collection, treatment, and disposal",32492,32492,0,0,0
2005,"Austria","97","Materials recovery",189598,189598,0,20922,15332
2005,"Austria","98","Building construction",5198,5198,0,7200,2002
2005,"Austria","99","Civil engineering construction",0,0,0,0,0
2005,"Austria","100","Wholesale and retail trade; repair of motor vehicles and motorcycles",18804,18804,0,16583,16583
2005,"Austria","102","Rail transport",25166,25166,0,20904,12188
2005,"Austria","103","Transport via pipeline",1224708,1224708,0,1201170,10944
2005,"Austria","104","Water transport",0,0,0,0,0
2005,"Austria","105","Air transport",366944,366944,0,322326,0
2005,"Austria","106","Services to transport",234682,234682,0,400594,148780
2005,"Austria","111","Information services",0,0,0,0,0
2005,"Austria","112","Finance and insurance",0,0,0,0,0
2005,"Austria","114","Professional, scientific and technical services",108397,108397,0,81507,10649
2005,"Austria","115","Administrative services",430130,430130,0,420667,4538
2005,"Austria","117","Education",22511,22511,0,24122,24122
2005,"Austria","118","Human health and social work activities",510114,510114,0,413094,380924
2005,"Belgium","6_7","Aggregate (see variable gloria_sector)",0,0,0,0,0
2005,"Belgium","26","Petroleum extraction",214368,214368,0,182912,182912
2005,"Belgium","40","Mining and quarrying n.e.c.; services to mining",115939,115939,0,94732,94732
2005,"Belgium","47","Cereal products",0,0,0,0,0
2005,"Belgium","48_49","Aggregate (see variable gloria_sector)",0,0,0,0,0
2005,"Belgium","51","Sugar refining; cocoa, chocolate and confectionery",277058,277058,0,273511,273511
2005,"Belgium","54","Dairy products",0,0,0,0,0
2005,"Belgium","55","Alcoholic and other  beverages",0,0,0,0,0
2005,"Belgium","57","Textiles and clothing",29318,29318,0,34988,34988
2005,"Belgium","60","Pulp and paper",203428,203428,0,186104,186104
2005,"Belgium","63","Refined petroleum products",6864004,6864004,0,7274470,7274470
2005,"Belgium","64","Nitrogenous fertilizers",0,0,0,0,0
2005,"Belgium","66_67_68_70","Aggregate (see variable gloria_sector)",0,0,0,0,0
2005,"Belgium","73","Clay building materials",653707,653707,0,638063,638063
2005,"Belgium","74","Glass and other ceramics n.e.c.",153470,153470,0,119131,119131
2005,"Belgium","75","Cement, lime and plaster products",11731256,11731256,0,11566300,11617002
2005,"Belgium","76","Other non-metallic mineral products n.e.c.",0,0,0,0,0
2005,"Belgium","77","Basic iron and steel",1566113,1566113,0,1279820,1279820
2005,"Belgium","77_78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",1566113,1566113,0,1279820,1279820
2005,"Belgium","78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",510045,510045,0,513388,513388
2005,"Belgium","93","Electric power generation, transmission and distribution",52289713,52289713,0,52737861,52737861
2005,"Belgium","93_94","Aggregate (see variable gloria_sector)",59110,59110,0,96725,96725
2005,"Belgium","94","Distribution of gaseous fuels through mains",0,0,0,0,0
2005,"Belgium","95","Water collection, treatment and supply; sewerage",0,0,0,0,0
2005,"Belgium","103","Transport via pipeline",0,0,0,0,0
2005,"Belgium","104","Water transport",0,0,0,0,0
2005,"Belgium","105","Air transport",0,0,0,0,0
2005,"Belgium","111","Information services",0,0,0,0,0
2005,"Belgium","117","Education",3122,3122,0,3184,3184
2005,"Bulgaria","6_7","Aggregate (see variable gloria_sector)",0,0,0,0,0
2005,"Bulgaria","12","Growing fruits and nuts",0,0,0,0,0
2005,"Bulgaria","27","Gas extraction",0,0,0,0,0
2005,"Bulgaria","47","Cereal products",0,0,0,0,0
2005,"Bulgaria","51","Sugar refining; cocoa, chocolate and confectionery",0,0,0,0,0
2005,"Bulgaria","52_53","Aggregate (see variable gloria_sector)",0,0,0,0,0
2005,"Bulgaria","55","Alcoholic and other  beverages",0,0,0,0,0
2005,"Bulgaria","56","Tobacco products",0,0,0,0,0
2005,"Bulgaria","57","Textiles and clothing",0,0,0,0,0
2005,"Bulgaria","59","Sawmill products",0,0,0,0,0
2005,"Bulgaria","60","Pulp and paper",0,0,0,0,0
2005,"Bulgaria","63","Refined petroleum products",0,0,0,0,0
2005,"Bulgaria","64","Nitrogenous fertilizers",0,0,0,0,0
2005,"Bulgaria","66_67_68_70","Aggregate (see variable gloria_sector)",0,0,0,0,0
2005,"Bulgaria","69","Pharmaceuticals and medicinal products",0,0,0,0,0
2005,"Bulgaria","70","Dyes, paints, glues, detergents and other chemical products",0,0,0,0,0
2005,"Bulgaria","72","Plastic products",0,0,0,0,0
2005,"Bulgaria","73","Clay building materials",0,0,0,0,0
2005,"Bulgaria","73_74_75_76","Aggregate (see variable gloria_sector)",0,0,0,0,0
2005,"Bulgaria","74","Glass and other ceramics n.e.c.",0,0,0,0,0
2005,"Bulgaria","74_76","Aggregate (see variable gloria_sector)",0,0,0,0,0
2005,"Bulgaria","75","Cement, lime and plaster products",0,0,0,0,0
2005,"Bulgaria","77","Basic iron and steel",0,0,0,0,0
2005,"Bulgaria","77_78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",0,0,0,0,0
2005,"Bulgaria","78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",0,0,0,0,0
2005,"Bulgaria","85","Fabricated metal products",0,0,0,0,0
2005,"Bulgaria","86","Machinery and equipment",0,0,0,0,0
2005,"Bulgaria","93","Electric power generation, transmission and distribution",0,0,0,0,0
2005,"Bulgaria","94","Distribution of gaseous fuels through mains",0,0,0,0,0
2005,"Bulgaria","104","Water transport",0,0,0,0,0
2005,"Bulgaria","105","Air transport",0,0,0,0,0
2005,"CSSR/Czech Republic (1990/1991)","6_7","Aggregate (see variable gloria_sector)",125200,125200,0,104585,104585
2005,"CSSR/Czech Republic (1990/1991)","11","Growing grapes",42300,42300,0,35394,35394
2005,"CSSR/Czech Republic (1990/1991)","27","Gas extraction",221400,221400,0,99584,99584
2005,"CSSR/Czech Republic (1990/1991)","28","Iron ores",25082000,25082000,0,9765730,9765730
2005,"CSSR/Czech Republic (1990/1991)","29","Uranium ores",0,0,0,0,0
2005,"CSSR/Czech Republic (1990/1991)","37","Quarrying of stone, sand and clay",32200,32200,0,1248,1248
2005,"CSSR/Czech Republic (1990/1991)","41_42_43_44_45","Aggregate (see variable gloria_sector)",199400,199400,0,184920,184920
2005,"CSSR/Czech Republic (1990/1991)","47","Cereal products",114200,114200,0,96733,96733
2005,"CSSR/Czech Republic (1990/1991)","48_49","Aggregate (see variable gloria_sector)",112000,112000,0,105036,105036
2005,"CSSR/Czech Republic (1990/1991)","50","Food products and feeds n.e.c.",68300,68300,0,26852,26852
2005,"CSSR/Czech Republic (1990/1991)","51","Sugar refining; cocoa, chocolate and confectionery",706100,706100,0,459654,461644
2005,"CSSR/Czech Republic (1990/1991)","52_53","Aggregate (see variable gloria_sector)",277300,277300,0,158112,158112
2005,"CSSR/Czech Republic (1990/1991)","54","Dairy products",361800,361800,0,321913,321913
2005,"CSSR/Czech Republic (1990/1991)","55","Alcoholic and other  beverages",222400,222400,0,201506,201506
2005,"CSSR/Czech Republic (1990/1991)","56","Tobacco products",27600,27600,0,20010,20010
2005,"CSSR/Czech Republic (1990/1991)","57","Textiles and clothing",86600,86600,0,83256,83256
2005,"CSSR/Czech Republic (1990/1991)","59","Sawmill products",591700,591700,0,389402,389402
2005,"CSSR/Czech Republic (1990/1991)","60","Pulp and paper",641300,641300,0,502690,502690
2005,"CSSR/Czech Republic (1990/1991)","62","Coke oven products",8392000,8392000,0,4942650,4942650
2005,"CSSR/Czech Republic (1990/1991)","63","Refined petroleum products",6692600,6692600,0,6442632,6442632
2005,"CSSR/Czech Republic (1990/1991)","64","Nitrogenous fertilizers",0,0,0,0,0
2005,"CSSR/Czech Republic (1990/1991)","66","Basic petrochemical products",0,0,0,0,0
2005,"CSSR/Czech Republic (1990/1991)","66_67_68_70","Aggregate (see variable gloria_sector)",111600,111600,0,73782,73782
2005,"CSSR/Czech Republic (1990/1991)","69","Pharmaceuticals and medicinal products",16400,16400,0,13888,13888
2005,"CSSR/Czech Republic (1990/1991)","70","Dyes, paints, glues, detergents and other chemical products",25700,25700,0,23755,23755
2005,"CSSR/Czech Republic (1990/1991)","71","Rubber products",453000,453000,0,388129,388129
2005,"CSSR/Czech Republic (1990/1991)","72","Plastic products",17900,17900,0,14856,14856
2005,"CSSR/Czech Republic (1990/1991)","73","Clay building materials",690300,690300,0,547510,547510
2005,"CSSR/Czech Republic (1990/1991)","73_74_75_76","Aggregate (see variable gloria_sector)",127810,127810,0,106326,106326
2005,"CSSR/Czech Republic (1990/1991)","74","Glass and other ceramics n.e.c.",2417600,2417600,0,1817259,1817679
2005,"CSSR/Czech Republic (1990/1991)","74_76","Aggregate (see variable gloria_sector)",124210,124210,0,106326,106326
2005,"CSSR/Czech Republic (1990/1991)","75","Cement, lime and plaster products",13832300,13832300,0,9889649,10874676
2005,"CSSR/Czech Republic (1990/1991)","76","Other non-metallic mineral products n.e.c.",25000,25000,0,25485,25485
2005,"CSSR/Czech Republic (1990/1991)","77","Basic iron and steel",1041600,1041600,0,534981,534981
2005,"CSSR/Czech Republic (1990/1991)","77_78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",1006400,1006400,0,499851,499851
2005,"CSSR/Czech Republic (1990/1991)","78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",25800,25800,0,22938,22938
2005,"CSSR/Czech Republic (1990/1991)","85","Fabricated metal products",75400,75400,0,65670,65670
2005,"CSSR/Czech Republic (1990/1991)","86","Machinery and equipment",23400,23400,0,35507,35507
2005,"CSSR/Czech Republic (1990/1991)","87","Motor vehicles, trailers and semi-trailers",57600,57600,0,38176,38176
2005,"CSSR/Czech Republic (1990/1991)","88","Other transport equipment",105600,105600,0,98984,98984
2005,"CSSR/Czech Republic (1990/1991)","89","Repair and installation of machinery and equipment (service)",46600,46600,0,39542,39542
2005,"CSSR/Czech Republic (1990/1991)","91","Electrical equipment",131400,131400,0,88041,88041
2005,"CSSR/Czech Republic (1990/1991)","93","Electric power generation, transmission and distribution",154558900,154558900,0,142194518,142742173
2005,"CSSR/Czech Republic (1990/1991)","93_94","Aggregate (see variable gloria_sector)",5142820,5142820,0,3727733,3727733
2005,"CSSR/Czech Republic (1990/1991)","94","Distribution of gaseous fuels through mains",69779800,69779800,0,60315508,60456148
2005,"CSSR/Czech Republic (1990/1991)","103","Transport via pipeline",0,0,0,0,0
2005,"CSSR/Czech Republic (1990/1991)","104","Water transport",0,0,0,0,0
2005,"CSSR/Czech Republic (1990/1991)","105","Air transport",0,0,0,0,0
2005,"CSSR/Czech Republic (1990/1991)","106","Services to transport",0,0,0,0,0
2005,"CSSR/Czech Republic (1990/1991)","109","Publishing",0,0,0,0,0
2005,"CSSR/Czech Republic (1990/1991)","113","Property and real estate",170800,170800,0,106447,106447
2005,"Croatia","20","Raising of animals n.e.c.; services to agriculture",0,0,0,0,0
2005,"Croatia","26","Petroleum extraction",34638,34638,0,30906,0
2005,"Croatia","27","Gas extraction",284414,284414,0,323462,323462
2005,"Croatia","28","Iron ores",668794,668794,0,641550,641550
2005,"Croatia","40","Mining and quarrying n.e.c.; services to mining",0,0,0,0,0
2005,"Croatia","41_42_43_44_45","Aggregate (see variable gloria_sector)",19945,19945,0,16153,16153
2005,"Croatia","47","Cereal products",132888,132888,0,135625,135625
2005,"Croatia","48_49","Aggregate (see variable gloria_sector)",15707,15707,0,10238,10238
2005,"Croatia","50","Food products and feeds n.e.c.",32172,32172,0,21925,21925
2005,"Croatia","51","Sugar refining; cocoa, chocolate and confectionery",36826,36826,0,34414,34414
2005,"Croatia","52_53","Aggregate (see variable gloria_sector)",11509,11509,0,1093,1093
2005,"Croatia","55","Alcoholic and other  beverages",36040,36040,0,28070,28070
2005,"Croatia","59","Sawmill products",58464,58464,0,45744,45744
2005,"Croatia","60","Pulp and paper",133693,133693,0,120463,120463
2005,"Croatia","62","Coke oven products",528466,528466,0,369630,369630
2005,"Croatia","63","Refined petroleum products",2906558,2906558,0,2762182,2762182
2005,"Croatia","64","Nitrogenous fertilizers",20347,20347,0,12954,12954
2005,"Croatia","66","Basic petrochemical products",70697,70697,0,53483,53483
2005,"Croatia","66_67_68_70","Aggregate (see variable gloria_sector)",87791,87791,0,60085,60086
2005,"Croatia","69","Pharmaceuticals and medicinal products",257022,257022,0,232550,232550
2005,"Croatia","71","Rubber products",0,0,0,0,0
2005,"Croatia","73","Clay building materials",702037,702037,0,511066,489869
2005,"Croatia","73_74_75_76","Aggregate (see variable gloria_sector)",39228,39228,0,38351,21928
2005,"Croatia","74","Glass and other ceramics n.e.c.",355803,355803,0,301202,230897
2005,"Croatia","74_76","Aggregate (see variable gloria_sector)",15975,15975,0,16423,0
2005,"Croatia","75","Cement, lime and plaster products",2876472,2876472,0,2456342,2455941
2005,"Croatia","76","Other non-metallic mineral products n.e.c.",20257,20257,0,12500,9247
2005,"Croatia","77","Basic iron and steel",2287336,2287336,0,1338457,1330351
2005,"Croatia","77_78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",2177799,2177799,0,1243008,1234902
2005,"Croatia","78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",194075,194075,0,178201,178201
2005,"Croatia","85","Fabricated metal products",29903,29903,0,24579,24579
2005,"Croatia","87","Motor vehicles, trailers and semi-trailers",38753,38753,0,51211,16339
2005,"Croatia","88","Other transport equipment",59876,59876,0,64818,64818
2005,"Croatia","89","Repair and installation of machinery and equipment (service)",4145,4145,0,3563,3563
2005,"Croatia","90","Computers; electronic products; optical and precision instruments",13988,13988,0,9287,9287
2005,"Croatia","91","Electrical equipment",14290,14290,0,11831,11831
2005,"Croatia","93","Electric power generation, transmission and distribution",15832719,15832719,0,13899647,13654306
2005,"Croatia","93_94","Aggregate (see variable gloria_sector)",107957,107957,0,63943,63584
2005,"Croatia","94","Distribution of gaseous fuels through mains",8458570,8458570,0,8166086,7535986
2005,"Croatia","103","Transport via pipeline",334590,334590,0,390544,390542
2005,"Croatia","105","Air transport",0,0,0,0,0
2005,"Croatia","106","Services to transport",19520,19520,0,19953,19953
2005,"Croatia","111","Information services",0,0,0,0,0
2005,"Croatia","113","Property and real estate",172252,172252,0,128640,128640
2005,"Croatia","118","Human health and social work activities",39154,39154,0,33340,33340
2005,"Cyprus","6_7","Aggregate (see variable gloria_sector)",0,0,0,0,0
2005,"Cyprus","37","Quarrying of stone, sand and clay",42346,42346,0,36919,36919
2005,"Cyprus","46","Fish products",0,0,0,0,0
2005,"Cyprus","47","Cereal products",0,0,0,0,0
2005,"Cyprus","48_49","Aggregate (see variable gloria_sector)",48476,48476,0,53831,53831
2005,"Cyprus","50","Food products and feeds n.e.c.",21514,21514,0,16261,16261
2005,"Cyprus","51","Sugar refining; cocoa, chocolate and confectionery",92059,92059,0,73531,73531
2005,"Cyprus","52_53","Aggregate (see variable gloria_sector)",28339,28339,0,22137,22137
2005,"Cyprus","54","Dairy products",15830,15830,0,11045,11045
2005,"Cyprus","55","Alcoholic and other  beverages",0,0,0,0,0
2005,"Cyprus","56","Tobacco products",14385,14385,0,11205,11205
2005,"Cyprus","57","Textiles and clothing",186467,186467,0,112885,120303
2005,"Cyprus","59","Sawmill products",37918,37918,0,27602,27602
2005,"Cyprus","60","Pulp and paper",377216,377216,0,324019,324048
2005,"Cyprus","63","Refined petroleum products",6531754,6531754,0,6018060,6018060
2005,"Cyprus","64","Nitrogenous fertilizers",162765,162765,0,146030,146030
2005,"Cyprus","66","Basic petrochemical products",49093,49093,0,44544,44544
2005,"Cyprus","66_67_68_70","Aggregate (see variable gloria_sector)",0,0,0,0,0
2005,"Cyprus","69","Pharmaceuticals and medicinal products",0,0,0,0,0
2005,"Cyprus","70","Dyes, paints, glues, detergents and other chemical products",27655,27655,0,5307,5307
2005,"Cyprus","71","Rubber products",13203,13203,0,15536,15536
2005,"Cyprus","73","Clay building materials",793102,793102,0,639068,639627
2005,"Cyprus","73_74_75_76","Aggregate (see variable gloria_sector)",3058,3058,0,2471,2471
2005,"Cyprus","74","Glass and other ceramics n.e.c.",898595,898595,0,769574,771587
2005,"Cyprus","74_76","Aggregate (see variable gloria_sector)",3058,3058,0,2471,2471
2005,"Cyprus","75","Cement, lime and plaster products",7135493,7135493,0,6982764,6982764
2005,"Cyprus","76","Other non-metallic mineral products n.e.c.",98133,98133,0,77298,77298
2005,"Cyprus","77","Basic iron and steel",324712,324712,0,235970,235970
2005,"Cyprus","77_78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",324712,324712,0,235970,235970
2005,"Cyprus","87","Motor vehicles, trailers and semi-trailers",0,0,0,0,0
2005,"Cyprus","93","Electric power generation, transmission and distribution",20240038,20240038,0,20590293,20648238
2005,"Cyprus","93_94","Aggregate (see variable gloria_sector)",123673,123673,0,73190,77357
2005,"Cyprus","94","Distribution of gaseous fuels through mains",5967674,5967674,0,6402098,6402098
2005,"Cyprus","104","Water transport",0,0,0,0,0
2005,"Cyprus","105","Air transport",0,0,0,0,0
2005,"Denmark","6_7","Aggregate (see variable gloria_sector)",7321,7321,0,5817,5817
2005,"Denmark","27","Gas extraction",0,0,0,0,0
2005,"Denmark","41_42_43_44_45","Aggregate (see variable gloria_sector)",11354,11354,0,6587,6587
2005,"Denmark","47","Cereal products",0,0,0,0,0
2005,"Denmark","51","Sugar refining; cocoa, chocolate and confectionery",105526,105526,0,55593,55593
2005,"Denmark","55","Alcoholic and other  beverages",20195,20195,0,7604,7604
2005,"Denmark","57","Textiles and clothing",16534,16534,0,11932,11932
2005,"Denmark","59","Sawmill products",27202,27202,0,17640,47604
2005,"Denmark","60","Pulp and paper",138329,138329,0,80559,80559
2005,"Denmark","63","Refined petroleum products",5298310,5298310,0,3740750,3740750
2005,"Denmark","64","Nitrogenous fertilizers",265700,265700,0,133319,133319
2005,"Denmark","66","Basic petrochemical products",0,0,0,0,0
2005,"Denmark","73","Clay building materials",51331,51331,0,31479,29052
2005,"Denmark","73_74_75_76","Aggregate (see variable gloria_sector)",0,0,0,0,0
2005,"Denmark","74","Glass and other ceramics n.e.c.",173056,173056,0,75001,75001
2005,"Denmark","74_76","Aggregate (see variable gloria_sector)",0,0,0,0,0
2005,"Denmark","75","Cement, lime and plaster products",1518188,1518188,0,834842,834842
2005,"Denmark","76","Other non-metallic mineral products n.e.c.",0,0,0,0,0
2005,"Denmark","93","Electric power generation, transmission and distribution",1069408,1069408,0,278855,278855
2005,"Denmark","93_94","Aggregate (see variable gloria_sector)",12549,12549,0,9156,9156
2005,"Denmark","94","Distribution of gaseous fuels through mains",14675894,14675894,0,6316710,6313458
2005,"Denmark","104","Water transport",0,0,0,0,0
2005,"Denmark","105","Air transport",0,0,0,0,0
2005,"Denmark","106","Services to transport",69500,69500,0,29480,29480
2005,"Denmark","111","Information services",0,0,0,0,0
2005,"Estonia","6_7","Aggregate (see variable gloria_sector)",151084,151084,0,101839,101839
2005,"Estonia","11","Growing grapes",36490,36490,0,22604,22604
2005,"Estonia","24","Hard coal",0,0,0,0,0
2005,"Estonia","26","Petroleum extraction",22854692,22854692,0,21370258,21353590
2005,"Estonia","27","Gas extraction",0,0,0,0,0
2005,"Estonia","37","Quarrying of stone, sand and clay",0,0,0,0,0
2005,"Estonia","38","Chemical and fertilizer minerals",92268,92268,0,38539,38539
2005,"Estonia","39","Extraction of salt",0,0,0,0,0
2005,"Estonia","40","Mining and quarrying n.e.c.; services to mining",0,0,0,0,0
2005,"Estonia","41_42_43_44_45","Aggregate (see variable gloria_sector)",20009,20009,0,24583,24583
2005,"Estonia","47","Cereal products",292682,292682,0,290633,290633
2005,"Estonia","48_49","Aggregate (see variable gloria_sector)",0,0,0,4234,4234
2005,"Estonia","50","Food products and feeds n.e.c.",81836,81836,0,65408,65408
2005,"Estonia","51","Sugar refining; cocoa, chocolate and confectionery",238112,238112,0,213756,213756
2005,"Estonia","52_53","Aggregate (see variable gloria_sector)",118330,118330,0,140711,140711
2005,"Estonia","54","Dairy products",127376,127376,0,67989,67989
2005,"Estonia","55","Alcoholic and other  beverages",169518,169518,0,136580,136580
2005,"Estonia","56","Tobacco products",107457,107457,0,96819,96819
2005,"Estonia","57","Textiles and clothing",153136,153136,0,39294,39406
2005,"Estonia","59","Sawmill products",197664,197664,0,154949,154949
2005,"Estonia","60","Pulp and paper",327165,327165,0,235619,233670
2005,"Estonia","62","Coke oven products",119490,119490,0,93724,93724
2005,"Estonia","63","Refined petroleum products",38365428,38365428,0,35707564,35650106
2005,"Estonia","64","Nitrogenous fertilizers",182391,182391,0,171069,171069
2005,"Estonia","65_70","Aggregate (see variable gloria_sector)",191782,191782,0,220192,220192
2005,"Estonia","66","Basic petrochemical products",39073,39073,0,27432,27432
2005,"Estonia","66_67_68_70","Aggregate (see variable gloria_sector)",1228786,1228786,0,1079701,1079701
2005,"Estonia","69","Pharmaceuticals and medicinal products",1403142,1403142,0,1066566,1066566
2005,"Estonia","70","Dyes, paints, glues, detergents and other chemical products",395566,395566,0,286606,286606
2005,"Estonia","71","Rubber products",0,0,0,0,0
2005,"Estonia","72","Plastic products",75170,75170,0,68348,68348
2005,"Estonia","73","Clay building materials",139498,139498,0,104576,104576
2005,"Estonia","73_74_75_76","Aggregate (see variable gloria_sector)",0,0,0,0,0
2005,"Estonia","74","Glass and other ceramics n.e.c.",386018,386018,0,405836,405836
2005,"Estonia","74_76","Aggregate (see variable gloria_sector)",0,0,0,0,0
2005,"Estonia","75","Cement, lime and plaster products",5709088,5709088,0,5895914,5892094
2005,"Estonia","76","Other non-metallic mineral products n.e.c.",15831,15831,0,9698,9698
2005,"Estonia","77","Basic iron and steel",19933096,19933096,0,18813619,18788389
2005,"Estonia","77_78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",19933096,19933096,0,18813619,18788389
2005,"Estonia","78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",523314,523314,0,691021,691021
2005,"Estonia","85","Fabricated metal products",150154,150154,0,157772,157772
2005,"Estonia","86","Machinery and equipment",11712,11712,0,15407,15407
2005,"Estonia","87","Motor vehicles, trailers and semi-trailers",945612,945612,0,623877,623877
2005,"Estonia","88","Other transport equipment",203979,203979,0,263996,263996
2005,"Estonia","90","Computers; electronic products; optical and precision instruments",0,0,0,1900,1900
2005,"Estonia","91","Electrical equipment",0,0,0,8296,8296
2005,"Estonia","93","Electric power generation, transmission and distribution",130584582,130584582,0,170608310,170607581
2005,"Estonia","93_94","Aggregate (see variable gloria_sector)",2620433,2620433,0,2545654,2545654
2005,"Estonia","94","Distribution of gaseous fuels through mains",6155508,6155508,0,5794555,5821419
2005,"Estonia","95","Water collection, treatment and supply; sewerage",213192,213192,0,32466,32526
2005,"Estonia","96","Waste collection, treatment, and disposal",4913,4913,0,6569,6569
2005,"Estonia","98","Building construction",0,0,0,0,0
2005,"Estonia","103","Transport via pipeline",84964,84964,0,68198,68198
2005,"Estonia","105","Air transport",0,0,0,0,0
2005,"Estonia","106","Services to transport",95422,95422,0,77750,77750
2005,"Estonia","109","Publishing",297,297,0,12,12
2005,"Estonia","110","Telecommunications",4960,4960,0,5006,5350
2005,"Estonia","111","Information services",259,259,0,1151,1151
2005,"Estonia","112","Finance and insurance",0,0,0,0,0
2005,"Estonia","113","Property and real estate",0,0,0,0,0
2005,"Estonia","114","Professional, scientific and technical services",84047,84047,0,94948,94948
2005,"Estonia","115","Administrative services",0,0,0,0,0
2005,"Estonia","116","Government; social security; defence; public order",141330,141330,0,145794,145794
2005,"Estonia","117","Education",199503,199503,0,211364,211364
2005,"Estonia","118","Human health and social work activities",1448000,1448000,0,1603720,1589144
2005,"Finland","10","Growing crops n.e.c.",136379,136379,0,96726,84291
2005,"Finland","11","Growing grapes",0,0,0,0,0
2005,"Finland","26","Petroleum extraction",5690680,5690680,0,4412846,4831986
2005,"Finland","39","Extraction of salt",31404,31404,0,886,886
2005,"Finland","40","Mining and quarrying n.e.c.; services to mining",46818,46818,0,27686,27686
2005,"Finland","41_42_43_44_45","Aggregate (see variable gloria_sector)",108266,108266,0,48256,48256
2005,"Finland","46","Fish products",464366,464366,0,265010,265010
