jurisdiction,year,ipcc_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price_clcu,ets_2_price_clcu,tax_curr_code,ets_curr_code,ets_2_curr_code,tax_rate_incl_ex_usd,ets_price_usd,ets_2_price_usd,tax_rate_incl_ex_kusd,ets_price_kusd,ets_2_price_kusd,tax_curr_x_rate,ets_curr_x_rate,ets_2_curr_x_rate
Belgium,1989,1A2M,ABFLOW026,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A2M,ABFLOW026,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A2M,ABFLOW026,Oil,,,,,,,,,,,,,,,
Belgium,1989,1A3,ABFLOW027,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A3,ABFLOW027,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A3,ABFLOW027,Oil,,,,,,,,,,,,,,,
Belgium,1989,1A3A,,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A3A,,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A3A,,Oil,,,,,,,,,,,,,,,
Belgium,1989,1A3A1,ABFLOW040,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A3A1,ABFLOW040,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A3A1,ABFLOW040,Oil,,,,,,,,,,,,,,,
Belgium,1989,1A3A2,ABFLOW029,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A3A2,ABFLOW029,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A3A2,ABFLOW029,Oil,,,,,,,,,,,,,,,
Belgium,1989,1A3B,ABFLOW028,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A3B,ABFLOW028,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A3B,ABFLOW028,Oil,,,,,,,,,,,,,,,
Belgium,1989,1A3C,ABFLOW030,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A3C,ABFLOW030,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A3C,ABFLOW030,Oil,,,,,,,,,,,,,,,
Belgium,1989,1A3D,,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A3D,,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A3D,,Oil,,,,,,,,,,,,,,,
Belgium,1989,1A3D1,ABFLOW039,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A3D1,ABFLOW039,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A3D1,ABFLOW039,Oil,,,,,,,,,,,,,,,
Belgium,1989,1A3D2,ABFLOW032,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A3D2,ABFLOW032,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A3D2,ABFLOW032,Oil,,,,,,,,,,,,,,,
Belgium,1989,1A3E,,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A3E,,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A3E,,Oil,,,,,,,,,,,,,,,
Belgium,1989,1A3E1,ABFLOW033,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A3E1,ABFLOW033,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A3E1,ABFLOW033,Oil,,,,,,,,,,,,,,,
Belgium,1989,1A4,,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A4,,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A4,,Oil,,,,,,,,,,,,,,,
Belgium,1989,1A4A,ABFLOW035,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A4A,ABFLOW035,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A4A,ABFLOW035,Oil,,,,,,,,,,,,,,,
Belgium,1989,1A4B,ABFLOW034,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A4B,ABFLOW034,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A4B,ABFLOW034,Oil,,,,,,,,,,,,,,,
Belgium,1989,1A4C,,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A4C,,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A4C,,Oil,,,,,,,,,,,,,,,
Belgium,1989,1A4C1,ABFLOW036,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A4C1,ABFLOW036,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A4C1,ABFLOW036,Oil,,,,,,,,,,,,,,,
Belgium,1989,1A4C2,ABFLOW037,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A4C2,ABFLOW037,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A4C2,ABFLOW037,Oil,,,,,,,,,,,,,,,
Belgium,1989,1A4C3,,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A4C3,,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A4C3,,Oil,,,,,,,,,,,,,,,
Belgium,1989,1A5,ABFLOW038,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A5,ABFLOW038,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A5,ABFLOW038,Oil,,,,,,,,,,,,,,,
Belgium,1989,1A5A,,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A5A,,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A5A,,Oil,,,,,,,,,,,,,,,
Belgium,1989,1A5B,,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A5B,,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A5B,,Oil,,,,,,,,,,,,,,,
Belgium,1989,1A5C,,Coal,,,,,,,,,,,,,,,
Belgium,1989,1A5C,,Natural gas,,,,,,,,,,,,,,,
Belgium,1989,1A5C,,Oil,,,,,,,,,,,,,,,
Belgium,1989,1B,,,,,,,,,,,,,,,,,
Belgium,1989,1B1,,,,,,,,,,,,,,,,,
Belgium,1989,1B1A,,,,,,,,,,,,,,,,,
Belgium,1989,1B1A1,,,,,,,,,,,,,,,,,
Belgium,1989,1B1A11,,,,,,,,,,,,,,,,,
Belgium,1989,1B1A12,,,,,,,,,,,,,,,,,
Belgium,1989,1B1A13,,,,,,,,,,,,,,,,,
Belgium,1989,1B1A14,,,,,,,,,,,,,,,,,
Belgium,1989,1B1A2,,,,,,,,,,,,,,,,,
Belgium,1989,1B1A21,,,,,,,,,,,,,,,,,
Belgium,1989,1B1A22,,,,,,,,,,,,,,,,,
Belgium,1989,1B1B,,,,,,,,,,,,,,,,,
Belgium,1989,1B2,,,,,,,,,,,,,,,,,
Belgium,1989,1B2A,,,,,,,,,,,,,,,,,
Belgium,1989,1B2A1,,,,,,,,,,,,,,,,,
Belgium,1989,1B2A2,,,,,,,,,,,,,,,,,
Belgium,1989,1B2A3,,,,,,,,,,,,,,,,,
Belgium,1989,1B2A31,,,,,,,,,,,,,,,,,
Belgium,1989,1B2A32,,,,,,,,,,,,,,,,,
Belgium,1989,1B2A33,,,,,,,,,,,,,,,,,
Belgium,1989,1B2A34,,,,,,,,,,,,,,,,,
Belgium,1989,1B2A35,,,,,,,,,,,,,,,,,
Belgium,1989,1B2A36,,,,,,,,,,,,,,,,,
Belgium,1989,1B2B,,,,,,,,,,,,,,,,,
Belgium,1989,1B2B1,,,,,,,,,,,,,,,,,
Belgium,1989,1B2B2,,,,,,,,,,,,,,,,,
Belgium,1989,1B2B3,,,,,,,,,,,,,,,,,
Belgium,1989,1B2B31,,,,,,,,,,,,,,,,,
Belgium,1989,1B2B32,,,,,,,,,,,,,,,,,
Belgium,1989,1B2B33,,,,,,,,,,,,,,,,,
Belgium,1989,1B2B34,,,,,,,,,,,,,,,,,
Belgium,1989,1B2B35,,,,,,,,,,,,,,,,,
Belgium,1989,1B2B36,,,,,,,,,,,,,,,,,
Belgium,1989,1B3,,,,,,,,,,,,,,,,,
Belgium,1989,1C,,,,,,,,,,,,,,,,,
Belgium,1989,1C1,,,,,,,,,,,,,,,,,
Belgium,1989,1C1A,,,,,,,,,,,,,,,,,
Belgium,1989,1C1B,,,,,,,,,,,,,,,,,
