jurisdiction,year,ipcc_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price_clcu,ets_2_price_clcu,tax_curr_code,ets_curr_code,ets_2_curr_code,tax_rate_incl_ex_usd,ets_price_usd,ets_2_price_usd,tax_rate_incl_ex_kusd,ets_price_kusd,ets_2_price_kusd,tax_curr_x_rate,ets_curr_x_rate,ets_2_curr_x_rate
Guangdong Province,1989,1A3,ABFLOW027,Oil,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3A,,Coal,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3A,,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3A,,Oil,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3A1,ABFLOW040,Coal,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3A1,ABFLOW040,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3A1,ABFLOW040,Oil,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3A2,ABFLOW029,Coal,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3A2,ABFLOW029,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3A2,ABFLOW029,Oil,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3B,ABFLOW028,Coal,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3B,ABFLOW028,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3B,ABFLOW028,Oil,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3C,ABFLOW030,Coal,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3C,ABFLOW030,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3C,ABFLOW030,Oil,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3D,,Coal,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3D,,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3D,,Oil,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3D1,ABFLOW039,Coal,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3D1,ABFLOW039,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3D1,ABFLOW039,Oil,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3D2,ABFLOW032,Coal,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3D2,ABFLOW032,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3D2,ABFLOW032,Oil,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3E,,Coal,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3E,,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3E,,Oil,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3E1,ABFLOW033,Coal,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3E1,ABFLOW033,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1989,1A3E1,ABFLOW033,Oil,,,,,,,,,,,,,,,
Guangdong Province,1989,1A4,,Coal,,,,,,,,,,,,,,,
Guangdong Province,1989,1A4,,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1989,1A4,,Oil,,,,,,,,,,,,,,,
Guangdong Province,1989,1A4A,ABFLOW035,Coal,,,,,,,,,,,,,,,
Guangdong Province,1989,1A4A,ABFLOW035,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1989,1A4A,ABFLOW035,Oil,,,,,,,,,,,,,,,
Guangdong Province,1989,1A4B,ABFLOW034,Coal,,,,,,,,,,,,,,,
Guangdong Province,1989,1A4B,ABFLOW034,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1989,1A4B,ABFLOW034,Oil,,,,,,,,,,,,,,,
Guangdong Province,1989,1A4C,,Coal,,,,,,,,,,,,,,,
Guangdong Province,1989,1A4C,,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1989,1A4C,,Oil,,,,,,,,,,,,,,,
Guangdong Province,1989,1A4C1,ABFLOW036,Coal,,,,,,,,,,,,,,,
Guangdong Province,1989,1A4C1,ABFLOW036,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1989,1A4C1,ABFLOW036,Oil,,,,,,,,,,,,,,,
Guangdong Province,1989,1A4C2,ABFLOW037,Coal,,,,,,,,,,,,,,,
Guangdong Province,1989,1A4C2,ABFLOW037,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1989,1A4C2,ABFLOW037,Oil,,,,,,,,,,,,,,,
Guangdong Province,1989,1A4C3,,Coal,,,,,,,,,,,,,,,
Guangdong Province,1989,1A4C3,,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1989,1A4C3,,Oil,,,,,,,,,,,,,,,
Guangdong Province,1989,1A5,ABFLOW038,Coal,,,,,,,,,,,,,,,
Guangdong Province,1989,1A5,ABFLOW038,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1989,1A5,ABFLOW038,Oil,,,,,,,,,,,,,,,
Guangdong Province,1989,1A5A,,Coal,,,,,,,,,,,,,,,
Guangdong Province,1989,1A5A,,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1989,1A5A,,Oil,,,,,,,,,,,,,,,
Guangdong Province,1989,1A5B,,Coal,,,,,,,,,,,,,,,
Guangdong Province,1989,1A5B,,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1989,1A5B,,Oil,,,,,,,,,,,,,,,
Guangdong Province,1989,1A5C,,Coal,,,,,,,,,,,,,,,
Guangdong Province,1989,1A5C,,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1989,1A5C,,Oil,,,,,,,,,,,,,,,
Guangdong Province,1989,1B,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B1,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B1A,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B1A1,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B1A11,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B1A12,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B1A13,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B1A14,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B1A2,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B1A21,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B1A22,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B1B,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B2,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B2A,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B2A1,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B2A2,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B2A3,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B2A31,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B2A32,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B2A33,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B2A34,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B2A35,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B2A36,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B2B,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B2B1,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B2B2,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B2B3,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B2B31,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B2B32,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B2B33,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B2B34,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B2B35,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B2B36,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1B3,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1C,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1C1,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1C1A,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1C1B,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1C1C,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1C2,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1C2A,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1C2B,,,,,,,,,,,,,,,,,
Guangdong Province,1989,1C3,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2,,,,,,,,,,,,,,,,,
Guangdong Province,1989,20,,,,,,,,,,,,,,,,,
Guangdong Province,1989,200,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2000,,,,,,,,,,,,,,,,,
Guangdong Province,1989,20000,,,,,,,,,,,,,,,,,
Guangdong Province,1989,200000,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2A,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2A1,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2A2,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2A3,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2A4,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2A4A,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2A4B,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2A4C,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2A4D,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2B,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2B1,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2B10,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2B2,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2B3,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2B4,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2B5,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2B6,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2B7,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2B8,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2B8A,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2B8B,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2B8C,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2B8D,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2B8E,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2B8F,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2B9,,,,,,,,,,,,,,,,,
